gen,nevals,avg,std,min,max,bestFit
84,457,135903022.0,10713743.777107796,15464000.0,140910000.0,640000.0
85,446,135346692.0,14345413.132048028,9963000.0,140910000.0,640000.0
86,453,134810210.0,17201533.8232932,9963000.0,140910000.0,640000.0
87,455,136061494.0,13275690.604935173,6668000.0,140910000.0,640000.0
88,448,136713062.0,10407351.752590857,15528000.0,140910000.0,640000.0
89,459,134723782.0,17366520.346300695,6642000.0,140910000.0,640000.0
90,456,135159360.0,15300573.798338413,9963000.0,140910000.0,640000.0
91,454,134492982.0,17025058.892164692,6626000.0,140910000.0,640000.0
92,455,134804362.0,16775768.536283398,9948000.0,140910000.0,640000.0
93,458,136402214.0,12617084.072169922,6668000.0,140910000.0,640000.0
94,450,136100770.0,12990195.513582543,13348000.0,140910000.0,640000.0
95,466,135872592.0,14000228.879898215,3882000.0,140910000.0,640000.0
96,453,136019740.0,13134522.77992619,9921000.0,140910000.0,640000.0
97,467,137204310.0,8649164.24829012,16590000.0,140910000.0,640000.0
98,451,135356988.0,15397510.139495151,6626000.0,140910000.0,640000.0
99,448,135813776.0,15267142.894393306,6626000.0,140910000.0,640000.0
100,442,135626646.0,15478306.402855707,6626000.0,140910000.0,640000.0
0,500,20116234.0,13279810.485366272,806000.0,84574000.0,640000.0
1,464,26850212.0,15823282.389032181,1060000.0,86877000.0,640000.0
2,454,32282644.0,16362414.501816778,2235000.0,84966000.0,640000.0
3,456,38443836.0,17717901.744199395,2154000.0,101430000.0,640000.0
4,471,44350344.0,19063441.533093233,2367000.0,120162000.0,640000.0
5,450,48839904.0,19357600.25919494,4174000.0,118692000.0,640000.0
6,462,54388962.0,20484624.74736982,4484000.0,125608000.0,640000.0
7,449,58012672.0,22143441.32108684,3308000.0,127792000.0,640000.0
8,449,62763270.0,22817649.912843786,4956000.0,135555000.0,640000.0
9,466,68789970.0,23814300.37202647,3105000.0,140028000.0,640000.0
10,455,75444152.0,23005476.85428181,4078000.0,136073000.0,640000.0
11,457,77307822.0,24402791.703703,8559000.0,144984000.0,640000.0
12,431,83326278.0,24663209.439744778,7434000.0,139552000.0,640000.0
13,462,88089492.0,25599105.84207847,8060000.0,158984000.0,640000.0
14,473,91764128.0,27304737.171700004,8670000.0,158984000.0,640000.0
15,451,98897306.0,25489930.242673557,7233000.0,158984000.0,640000.0
16,459,100252714.0,27150454.620948873,6632000.0,158984000.0,640000.0
17,468,105167976.0,25381074.012015805,14408000.0,158984000.0,640000.0
18,441,106321934.0,26171284.75664968,5668000.0,156800000.0,640000.0
19,463,110324666.0,24066326.976222277,9252000.0,158984000.0,640000.0
20,445,115231340.0,20647330.023138586,47096000.0,158984000.0,640000.0
21,438,116893990.0,20917573.663451027,16644000.0,158984000.0,640000.0
22,438,118737326.0,22232508.618321143,5654000.0,158984000.0,640000.0
23,466,119721364.0,22719313.823606204,9930000.0,158984000.0,640000.0
24,460,120888462.0,21967233.81112324,12924000.0,158984000.0,640000.0
25,457,122642350.0,21643686.270677187,5590000.0,158984000.0,640000.0
26,454,124799944.0,20768186.621774755,10011000.0,157976000.0,640000.0
27,463,126491396.0,18405495.478448387,40860000.0,157976000.0,640000.0
28,452,127192482.0,18367786.048124474,10044000.0,158984000.0,640000.0
29,454,127137844.0,20014623.22392465,10065000.0,158984000.0,640000.0
30,445,127480926.0,19777337.565823264,2797000.0,158984000.0,640000.0
31,461,128941026.0,18302279.155048534,2797000.0,158984000.0,640000.0
32,462,129700716.0,15847317.563024476,17600000.0,158984000.0,640000.0
33,459,130370314.0,16879982.73243797,6126000.0,158984000.0,640000.0
34,460,131277444.0,16869240.803511698,9189000.0,158984000.0,640000.0
35,461,131549042.0,16012003.871728111,15464000.0,158984000.0,640000.0
36,443,132718094.0,15119108.428249465,25317000.0,158984000.0,640000.0
37,457,131049924.0,19430311.55710644,6710000.0,158984000.0,640000.0
38,477,131781998.0,17591469.897140376,6632000.0,158984000.0,640000.0
39,467,132612466.0,16940074.12052391,10056000.0,158984000.0,640000.0
40,457,132141292.0,18204754.077183686,9963000.0,158984000.0,640000.0
41,459,132647512.0,17546001.311006904,8481000.0,158984000.0,640000.0
42,449,130452946.0,21183821.20626692,3866000.0,158984000.0,640000.0
43,447,132467210.0,17259003.856709115,8622000.0,158984000.0,640000.0
44,446,133392584.0,15329617.776544333,58296000.0,158984000.0,640000.0
45,454,133136036.0,17530363.13002968,5606000.0,158984000.0,640000.0
46,468,133305764.0,18093174.039739516,13432000.0,158984000.0,640000.0
47,454,135577718.0,14072153.064491447,59136000.0,158984000.0,640000.0
48,461,135147034.0,15848651.779783793,9984000.0,158984000.0,640000.0
49,451,136585046.0,12673671.245692149,78680000.0,158984000.0,640000.0
